1            1            1            
5            0.131119     0.00802783   * alpha2 K Lii
6            0.255668     0.00804778   * alpha1 K Liii
10           0.0158899    0.0089029    * beta3 K Mii
11           0.0310908    0.00890529   * beta1 K Miii (beta1,3 K Mii,iii in B67)
13           1.79389e-05  0.0089770    * beta5 K Miv,v
14           2.59348e-05  0.0089770    * beta5 K Miv,v
-1           -1           -1           
3            3            3            
5            1.9146e-05   0.00012757   
6            8.7182e-05   0.00014861   
10           0.00068836   0.0010228    * beta3,4 Li Mii,iii
11           0.0010652    0.0010228    * beta3,4 Li Mii,iii
13           2.601e-06    0.00107601   
14           3.4221e-06   0.0010763    
-1           -1           -1           
5            5            5            
6            5.18584e-10  2.104e-05    
8            0.00465603   0.000832     * eta Lii Mi
11           1.62541e-05  0.00088067   
13           0.00442993   0.0009498    * beta1 Lii Miv
16           0.000120891  0.00095142   
-1           -1           -1           
6            6            6            
8            0.00433818   0.0008111    * l Liii Mi
10           8.20307e-06  0.00085699   
11           7.94827e-06  0.00085963   
13           0.000370919  0.0009297    * alpha1,2 Liii Miv,v
14           0.00397209   0.0009297    * alpha1,2 Liii Miv,v
16           0.00010619   0.00093038   
-1           -1           -1           
8            8            8            
10           8.17583e-06  4.076e-05    
11           2.00565e-05  4.34e-05     
-1           -1           -1           
10           10           10           
13           1.915e-05    7.200e-05    * Mii,iii Miv,v (Mii,iii M v,v in B67)
16           2.338e-06    7.339e-05    
-1           -1           -1           
11           11           11           
13           1.746e-06    7.200e-05    * Mii,iii Miv,v (Mii,iii M v,v in B67)
14           1.5967e-05   7.200e-05    * Mii,iii Miv,v (Mii,iii M v,v in B67)
16           9.55071e-07  7.075e-05    
-1           -1           -1           
-2           -2           -2           
