1            1            1            
5            0.25759      0.0306251    
6            0.475711     0.0309728    
10           0.0450681    0.0349194    
11           0.0873561    0.0349869    
13           0.000466391  0.0352373    
14           0.000635151  0.035252     
18           0.00948262   0.035822     
19           0.018483     0.035822     
21           9.09342e-05  0.0358994    
22           0.00012361   0.0359018    
29           0.0011699    0.0359667    
30           0.002212     0.0359686    
-1           -1           -1           
3            3            3            
5            1.97728e-05  0.0003217    
6            0.000406196  0.0006788    
10           0.0147019    0.0046494    
11           0.0229628    0.0047167    
13           0.000227678  0.0049752    
14           0.000340117  0.0050026    
18           0.00323707   0.0055420    
19           0.00520245   0.0055527    
21           2.86717e-05  0.00559929   
22           4.36686e-05  0.00560166   
29           0.000428926  0.0057026    
30           0.000674753  0.0057026    
-1           -1           -1           
5            5            5            
6            8.71309e-08  0.0003571    
8            0.00413494   0.0041421    
11           6.16116e-05  0.00437252   
13           0.0798698    0.0046198    
16           0.000610766  0.0051287    
19           8.19408e-06  0.00519544   
21           0.0124211    0.0052804    
27           7.78028e-05  0.00533223   
30           1.06341e-06  0.00534677   
-1           -1           -1           
6            6            6            
8            0.00749529   0.0037950    
10           4.218e-05    0.0039466    
11           3.9213e-05   0.00401542   
13           0.00789869   0.0042722    
14           0.0699779    0.0042865    
16           0.000690749  0.0047811    
18           3.9938e-06   0.00482413   
19           3.8399e-06   0.00483834   
21           0.0011945    0.0049359    
22           0.010664     0.0049359    
27           0.00010254   0.0049893    
29           5.2631e-07   0.00498783   
30           4.9595e-07   0.00498967   
-1           -1           -1           
8            8            8            
10           1.23737e-05  0.0001369    
11           8.75325e-05  0.00020572   
18           0.000243176  0.00101443   
19           0.000326311  0.00102864   
29           3.53939e-05  0.00117813   
30           4.77344e-05  0.00117997   
-1           -1           -1           
10           10           10           
13           0.000433604  0.0003118    
16           0.000312234  0.00082764   
21           0.00124439   0.00097389   
27           4.94729e-05  0.00102853   
-1           -1           -1           
11           11           11           
13           2.12415e-05  0.00024298   
14           0.000233778  0.0002577    
16           0.000382106  0.00075882   
21           0.000149791  0.00090507   
22           0.00123501   0.00090744   
27           6.00413e-05  0.00095971   
-1           -1           -1           
13           13           13           
18           0.0020796    0.00056573   
19           0.000325161  0.00057994   
29           0.0002619    0.00072943   
30           4.00351e-05  0.00073127   
-1           -1           -1           
14           14           14           
19           0.00224497   0.00056522   
30           0.000276176  0.00071655   
-1           -1           -1           
16           16           16           
18           1.12361e-05  4.989e-05    
19           4.55959e-05  6.41e-05     
29           1.23188e-05  0.00021359   
30           1.20406e-05  0.00021543   
-1           -1           -1           
18           18           18           
21           0.00010823   9.636e-05    
27           1.63241e-05  0.000151     
-1           -1           -1           
19           19           19           
21           2.6984e-06   8.215e-05    
22           2.8118e-05   8.452e-05    
27           6.19989e-06  0.00013679   
-1           -1           -1           
21           21           21           
29           8.08289e-07  6.574e-05    
30           1.3947e-07   6.746e-05    
-1           -1           -1           
22           22           22           
30           9.73099e-07  6.515e-05    
-1           -1           -1           
-2           -2           -2           
