2.00E-01	1.00E-04	0.0000E+00
2.00E-01	1.16E-04	0.0000E+00
2.00E-01	1.33E-04	0.0000E+00
2.00E-01	1.54E-04	0.0000E+00
2.00E-01	1.78E-04	0.0000E+00
2.00E-01	2.05E-04	0.0000E+00
2.00E-01	2.37E-04	0.0000E+00
2.00E-01	2.74E-04	0.0000E+00
2.00E-01	3.16E-04	0.0000E+00
2.00E-01	3.65E-04	0.0000E+00
2.00E-01	4.22E-04	0.0000E+00
2.00E-01	4.87E-04	0.0000E+00
2.00E-01	5.62E-04	0.0000E+00
2.00E-01	6.49E-04	0.0000E+00
2.00E-01	7.50E-04	1.2340E-07
2.00E-01	8.66E-04	1.0650E-06
2.00E-01	1.00E-03	4.3730E-06
2.00E-01	1.16E-03	1.2790E-05
2.00E-01	1.33E-03	3.2530E-05
2.00E-01	1.54E-03	7.4300E-05
2.00E-01	1.78E-03	1.5690E-04
2.00E-01	2.05E-03	3.1150E-04
2.00E-01	2.37E-03	5.8790E-04
2.00E-01	2.74E-03	1.0610E-03
2.00E-01	3.16E-03	1.8400E-03
2.00E-01	3.65E-03	3.0720E-03
2.00E-01	4.22E-03	4.9420E-03
2.00E-01	4.87E-03	7.6660E-03
2.00E-01	5.62E-03	1.1460E-03
2.00E-01	6.49E-03	1.6470E-02
2.00E-01	7.50E-03	2.2740E-02
2.00E-01	8.66E-03	3.0100E-02
2.00E-01	1.00E-02	3.8100E-02
2.00E-01	1.16E-02	4.6030E-02
2.00E-01	1.33E-02	5.3060E-02
2.00E-01	1.54E-02	5.8540E-02
2.00E-01	1.78E-02	6.2620E-02
2.00E-01	2.05E-02	6.6940E-02
2.00E-01	2.37E-02	7.5500E-02
2.00E-01	2.74E-02	9.5510E-02
2.00E-01	3.16E-02	1.3790E-01
2.00E-01	3.65E-02	2.1730E-01
2.00E-01	4.22E-02	3.5190E-01
2.00E-01	4.87E-02	5.6240E-01
2.00E-01	5.62E-02	8.7010E-01
2.00E-01	6.49E-02	1.2960E-00
2.00E-01	7.50E-02	1.8590E-00
2.00E-01	8.66E-02	2.5740E-00
2.00E-01	1.00E-01	3.4510E+00
2.00E-01	1.16E-01	4.4940E+00
2.00E-01	1.33E-01	5.7030E+00
2.00E-01	1.54E-01	7.0690E+00
2.00E-01	1.78E-01	8.5810E+00
2.00E-01	2.05E-01	1.0220E+01
2.00E-01	2.37E-01	1.1970E+01
2.00E-01	2.74E-01	1.3800E+01
2.00E-01	3.16E-01	1.5690E+01
2.00E-01	3.65E-01	1.7610E+01
2.00E-01	4.22E-01	1.9530E+01
2.00E-01	4.87E-01	2.1420E+01
2.00E-01	5.62E-01	2.3250E+01
2.00E-01	6.49E-01	2.4990E+01
