 1            1            1            1
 3            3            0.56348500E-01   0.31467800E-02
 3            5            0.62053100E-01   0.32218500E-02
 3            6            0.11776200E+00   0.32256900E-02
 3            8            0.14282400E-01   0.35277300E-02
 3           10            0.72329000E-02   0.35468800E-02
 3           11            0.13703400E-01   0.35472900E-02
 3           16            0.16255600E-02   0.35754400E-02
 5            5            0.11222300E-01   0.32969200E-02
 5            6            0.27684100E+00   0.33007600E-02
 5            8            0.68275700E-02   0.36028000E-02
 5           10            0.24949800E-02   0.36219500E-02
 5           11            0.28428200E-01   0.36223600E-02
 5           16            0.76347600E-03   0.36505100E-02
 6            6            0.15641600E+00   0.33046000E-02
 6            8            0.12993400E-01   0.36066400E-02
 6           10            0.28383900E-01   0.36257900E-02
 6           11            0.32541200E-01   0.36262000E-02
 6           16            0.14538500E-02   0.36543500E-02
 8            8            0.87217500E-03   0.39086800E-02
 8           10            0.77961600E-03   0.39278300E-02
 8           11            0.14773300E-02   0.39282400E-02
 8           16            0.19935900E-03   0.39563900E-02
10           10            0.13515700E-03   0.39469800E-02
10           11            0.29334400E-02   0.39473900E-02
10           16            0.87677300E-04   0.39755400E-02
11           11            0.16949500E-02   0.39478000E-02
11           16            0.16803500E-03   0.39759500E-02
 -1           -1           -1           -1
 3            3            3            3
 5            8            0.12693700E+00   0.21910000E-04
 5           10            0.77299700E-01   0.41060000E-04
 5           11            0.93297800E-01   0.41470000E-04
 5           16            0.14256700E-01   0.69620000E-04
 6            8            0.25369300E+00   0.25750000E-04
 6           10            0.89270100E-01   0.44900000E-04
 6           11            0.22497900E+00   0.45310000E-04
 6           16            0.27369100E-01   0.73460000E-04
 8            8            0.13120800E-01   0.32779000E-03
 8           10            0.22875400E-01   0.34694000E-03
 8           11            0.45219200E-01   0.34735000E-03
 8           16            0.26868200E-02   0.37550000E-03
10           10            0.52172100E-03   0.36609000E-03
10           11            0.26798500E-03   0.36650000E-03
10           16            0.20455000E-02   0.39465000E-03
11           11            0.12329900E-02   0.36691000E-03
11           16            0.40439300E-02   0.39506000E-03
 -1           -1           -1           -1
 5            5            5            5
 8            8            0.10855600E-01   0.25272000E-03
 8           10            0.19891700E+00   0.27187000E-03
 8           11            0.14584400E-01   0.27228000E-03
 8           16            0.21342400E-02   0.30043000E-03
10           10            0.16140900E+00   0.29102000E-03
10           11            0.57064300E+00   0.29143000E-03
10           16            0.22924000E-01   0.31958000E-03
11           11            0.15875100E-01   0.29184000E-03
11           16            0.14360400E-02   0.31999000E-03
 -1           -1           -1           -1
 6            6            6            6
 8            8            0.10617500E-01   0.24888000E-03
 8           10            0.69410100E-02   0.26803000E-03
 8           11            0.20317900E+00   0.26844000E-03
 8           16            0.21030100E-02   0.29659000E-03
10           10            0.26965800E-02   0.28718000E-03
10           11            0.29503400E+00   0.28759000E-03
10           16            0.67094900E-03   0.31574000E-03
11           11            0.45360200E+00   0.28800000E-03
11           16            0.23999800E-01   0.31615000E-03
 -1           -1           -1           -1
 -2           -2           -2           -2
