    0.01     0.00038761752
   0.011     0.00073319388
   0.012      0.0012943353
   0.014      0.0034417733
   0.016      0.0078128176
   0.018       0.015787836
    0.02       0.029184723
   0.023        0.06456489
   0.026        0.12708639
    0.03        0.27385332
   0.035        0.60917976
    0.04         1.1895091
   0.045         2.1072571
    0.05         3.4623734
   0.055         5.3585532
    0.06         7.8998039
    0.07         15.317961
    0.08         26.456446
    0.09         41.925262
     0.1         62.179691
    0.11         87.515938
    0.12          118.0806
    0.14         194.84306
    0.16         291.39103
    0.18          405.5659
     0.2         534.69942
    0.23         750.42782
    0.26         985.07389
     0.3         1315.6058
    0.35         1741.6215
     0.4         2170.1889
    0.45         2595.5245
     0.5         3015.9037
    0.55         3431.5488
     0.6         3843.4176
     0.7         4659.9162
     0.8         5471.3157
     0.9         6279.3937
       1         7082.8187
     1.1         7878.6075
     1.2         8663.1971
     1.4          10185.17
     1.6          11626.16
     1.8         12971.993
       2          14215.86
     2.3         15888.284
     2.6         17337.387
       3         18952.677
     3.5         20531.734
       4          21708.56
     4.5         22564.029
       5         23164.539
     5.5         23563.353
       6         23802.802
       7         23930.826
       8         23742.071
       9         23359.053
      10         22860.156
      11         22295.979
      12         21699.365
      14         20486.604
      16         19316.372
      18         18225.245
      20         17223.809
      23         15886.124
      26         14726.259
      30         13411.917
      35          12064.61
      40         10966.909
      45         10057.783
      50         9293.4859
      55         8641.9894
      60         8079.8262
      70         7158.9663
      80         6436.7493
      90         5854.1492
     100         5373.1479
     110         4969.1964
     120         4625.5115
     140         4070.8319
     160         3640.3231
     180         3296.4853
     100         5373.1479
     230         2679.4043
     260         2412.6546
     300         2133.6013
     350          1869.157
     400         1665.9397
     450         1503.7505
     500         1371.6667
     550          1262.453
     600         1170.3943
     700          1022.723
     800         909.59457
     900          819.9246
    1000          747.1988
    2000         404.02986
    3000         280.92726
    4000         217.17958
    5000         177.46254
    6000         150.53307
    7000          130.9924
    8000         116.08176
    9000         104.30467
   10000         94.777764
-1                  -1
-2                  -2
