 1.000E-03   4.212E+01   5.037E-03   4.212E+01   0.000E+00
   1.500E-03   3.743E+01   6.156E-03   3.744E+01   0.000E+00
   2.000E-03   3.308E+01   7.128E-03   3.308E+01   0.000E+00
   2.500E-03   2.958E+01   7.951E-03   2.959E+01   0.000E+00
   3.000E-03   2.678E+01   8.657E-03   2.679E+01   0.000E+00
   3.500E-03   2.451E+01   9.269E-03   2.452E+01   0.000E+00
   4.000E-03   2.264E+01   9.807E-03   2.265E+01   0.000E+00
   4.500E-03   2.106E+01   1.028E-02   2.107E+01   0.000E+00
   5.000E-03   1.971E+01   1.071E-02   1.972E+01   0.000E+00
   6.000E-03   1.753E+01   1.145E-02   1.754E+01   0.000E+00
   7.000E-03   1.583E+01   1.206E-02   1.584E+01   0.000E+00
   8.000E-03   1.447E+01   1.258E-02   1.449E+01   0.000E+00
   9.000E-03   1.336E+01   1.304E-02   1.337E+01   0.000E+00
   1.000E-02   1.242E+01   1.343E-02   1.244E+01   0.000E+00
   1.500E-02   9.357E+00   1.487E-02   9.372E+00   0.000E+00
   2.000E-02   7.630E+00   1.580E-02   7.645E+00   0.000E+00
   2.500E-02   6.510E+00   1.646E-02   6.527E+00   0.000E+00
   3.000E-02   5.721E+00   1.697E-02   5.738E+00   0.000E+00
   3.500E-02   5.132E+00   1.738E-02   5.150E+00   0.000E+00
   4.000E-02   4.675E+00   1.773E-02   4.693E+00   0.000E+00
   4.500E-02   4.310E+00   1.802E-02   4.328E+00   0.000E+00
   5.000E-02   4.010E+00   1.829E-02   4.028E+00   0.000E+00
   6.000E-02   3.547E+00   1.874E-02   3.566E+00   0.000E+00
   7.000E-02   3.206E+00   1.914E-02   3.225E+00   0.000E+00
   8.000E-02   2.944E+00   1.949E-02   2.963E+00   0.000E+00
   9.000E-02   2.736E+00   1.982E-02   2.756E+00   0.000E+00
   1.000E-01   2.567E+00   2.013E-02   2.587E+00   0.000E+00
   1.500E-01   2.047E+00   2.155E-02   2.068E+00   0.000E+00
   2.000E-01   1.781E+00   2.291E-02   1.804E+00   0.000E+00
   2.500E-01   1.623E+00   2.433E-02   1.647E+00   0.000E+00
   3.000E-01   1.519E+00   2.583E-02   1.545E+00   0.000E+00
   3.500E-01   1.448E+00   2.741E-02   1.475E+00   0.000E+00
   4.000E-01   1.397E+00   2.909E-02   1.426E+00   0.000E+00
   4.500E-01   1.359E+00   3.085E-02   1.390E+00   0.000E+00
   5.000E-01   1.331E+00   3.269E-02   1.363E+00   0.000E+00
   6.000E-01   1.292E+00   3.657E-02   1.329E+00   0.000E+00
   7.000E-01   1.270E+00   4.066E-02   1.311E+00   0.000E+00
   8.000E-01   1.257E+00   4.494E-02   1.302E+00   0.000E+00
   9.000E-01   1.250E+00   4.938E-02   1.299E+00   0.000E+00
   1.000E+00   1.247E+00   5.397E-02   1.301E+00   0.000E+00
   1.500E+00   1.258E+00   7.876E-02   1.337E+00   0.000E+00
   2.000E+00   1.283E+00   1.058E-01   1.389E+00   0.000E+00
   2.500E+00   1.311E+00   1.344E-01   1.445E+00   0.000E+00
   3.000E+00   1.336E+00   1.642E-01   1.500E+00   0.000E+00
   3.500E+00   1.360E+00   1.949E-01   1.555E+00   0.000E+00
   4.000E+00   1.382E+00   2.263E-01   1.608E+00   0.000E+00
   4.500E+00   1.402E+00   2.585E-01   1.660E+00   0.000E+00
   5.000E+00   1.420E+00   2.911E-01   1.711E+00   0.000E+00
   6.000E+00   1.453E+00   3.579E-01   1.811E+00   0.000E+00
   7.000E+00   1.482E+00   4.263E-01   1.908E+00   0.000E+00
   8.000E+00   1.507E+00   4.961E-01   2.003E+00   0.000E+00
   9.000E+00   1.529E+00   5.670E-01   2.096E+00   0.000E+00
   1.000E+01   1.550E+00   6.389E-01   2.189E+00   0.000E+00
   1.500E+01   1.629E+00   1.009E+00   2.638E+00   0.000E+00
   2.000E+01   1.685E+00   1.392E+00   3.077E+00   1.072E-02
   2.500E+01   1.727E+00   1.783E+00   3.510E+00   4.839E-02
   3.000E+01   1.761E+00   2.180E+00   3.941E+00   9.570E-02
   3.500E+01   1.788E+00   2.582E+00   4.370E+00   1.461E-01
   4.000E+01   1.812E+00   2.987E+00   4.799E+00   1.974E-01
   4.500E+01   1.832E+00   3.396E+00   5.227E+00   2.488E-01
   5.000E+01   1.850E+00   3.806E+00   5.656E+00   2.999E-01
   6.000E+01   1.879E+00   4.634E+00   6.513E+00   4.011E-01
   7.000E+01   1.904E+00   5.467E+00   7.371E+00   5.005E-01
   8.000E+01   1.924E+00   6.304E+00   8.228E+00   5.976E-01
   9.000E+01   1.942E+00   7.145E+00   9.086E+00   6.919E-01
   1.000E+02   1.957E+00   7.989E+00   9.945E+00   7.830E-01
   1.500E+02   2.011E+00   1.224E+01   1.425E+01   1.189E+00
   2.000E+02   2.047E+00   1.652E+01   1.856E+01   1.524E+00
