    0.01     2.8939428e-13
   0.011     2.5927944e-11
   0.012     9.1428969e-10
   0.014      1.776717e-07
   0.016     7.1333529e-06
   0.018     0.00010824658
    0.02     0.00086604372
   0.023      0.0089069594
   0.026       0.049219327
    0.03        0.26124778
   0.035         1.1417851
    0.04         3.2816446
   0.045         7.2330912
    0.05         13.359527
   0.055         21.838881
    0.06          32.73453
    0.07         61.882012
    0.08         101.25395
    0.09         151.83745
     0.1         214.94693
    0.11          291.9115
    0.12         383.88598
    0.14         616.27932
    0.16         916.73235
    0.18         1286.9516
     0.2         1726.5257
    0.23         2511.1484
    0.26          3435.195
     0.3         4856.4988
    0.35         6877.3173
     0.4         9092.8777
    0.45         11430.368
     0.5          13830.07
    0.55         16245.323
     0.6         18640.907
     0.7         23277.207
     0.8         27611.813
     0.9         31590.023
       1         35198.169
     1.1         38444.849
     1.2         41350.036
     1.4         46238.068
     1.6         50072.371
     1.8         53046.739
       2         55325.005
     2.3         57723.026
     2.6         59198.008
       3         60151.734
     3.5         60264.783
       4         59638.969
     4.5         58580.881
       5         57278.931
     5.5         55850.423
       6         54368.891
       7         51413.582
       8         48607.013
       9         46015.038
      10         43649.501
      11         41499.827
      12         39547.188
      14         36151.559
      16         33313.162
      18         30910.962
      20         28852.231
      23         26262.976
      26         24131.928
      30         21812.127
      35         19510.839
      40         17681.558
      45         16190.764
      50         14948.476
      55         13895.536
      60         12992.198
      70          11524.43
      80         10373.898
      90         9443.1056
     100          8677.972
     110         8038.5396
     120         7495.0214
     140         6610.1033
     160         5921.3769
     180         5374.9442
     100          8677.972
     230          4385.596
     260         3957.4941
     300         3510.5638
     350          3082.557
     400         2750.8048
     450         2488.7364
     500         2275.3702
     550         2098.2261
     600         1948.2978
     700         1705.0232
     800         1518.3974
     900         1371.6214
    1000         1252.5718
    2000         683.62889
    3000         477.78653
    4000         370.21365
    5000         303.63961
    6000         258.07707
    7000         224.76142
    8000         199.30375
    9000         179.32699
   10000         163.23597
-1                  -1
-2                  -2
