1.600000e+03  1.551229e-24  1.402281e-24  4.990216e-25  1.816776e-25  3.734185e-31  
3.200000e+03  1.001087e-23  8.524223e-24  4.188147e-24  8.677708e-25  2.350005e-30  
4.800000e+03  2.651954e-23  2.200341e-23  1.358666e-23  2.018840e-24  6.793401e-30  
6.400000e+03  5.073638e-23  4.147231e-23  2.515188e-23  3.584314e-24  1.435635e-29  
8.000000e+03  8.214279e-23  6.648964e-23  3.985424e-23  5.525509e-24  2.559048e-29  
9.600000e+03  1.202309e-22  9.664739e-23  5.745575e-23  8.361231e-24  3.406561e-29  
1.120000e+04  1.727370e-22  1.383945e-22  7.775132e-23  1.103717e-23  6.540591e-29  
1.280000e+04  2.237367e-22  1.785203e-22  1.005631e-22  1.400703e-23  8.052222e-29  
1.440000e+04  2.800842e-22  2.227525e-22  1.308212e-22  1.725362e-23  9.669597e-29  
1.600000e+04  3.414629e-22  2.708493e-22  1.585883e-22  2.076191e-23  1.525163e-28  
3.200000e+04  1.209223e-21  9.493478e-22  5.502424e-22  7.014052e-23  8.982366e-28  
4.800000e+04  2.388907e-21  1.869339e-21  1.073160e-21  1.371392e-22  2.737972e-27  
6.400000e+04  3.788299e-21  2.959259e-21  1.702482e-21  2.168498e-22  5.574889e-27  
8.000000e+04  5.342884e-21  4.167847e-21  2.407774e-21  3.050058e-22  9.698084e-27  
9.600000e+04  7.047601e-21  5.494413e-21  3.174475e-21  4.025383e-22  1.587772e-26  
1.120000e+05  8.863865e-21  6.908463e-21  3.984636e-21  5.067574e-22  2.317323e-26  
1.280000e+05  1.077262e-20  8.396039e-21  4.846432e-21  6.166937e-22  3.217471e-26  
1.440000e+05  1.274666e-20  9.935493e-21  5.745751e-21  7.189850e-22  4.412545e-26  
1.600000e+05  1.479659e-20  1.153848e-20  6.677586e-21  8.496111e-22  5.705125e-26  
2.400000e+05  2.564837e-20  2.008589e-20  1.168766e-20  1.485492e-21  1.583765e-25  
3.200000e+05  3.689019e-20  2.901762e-20  1.702099e-20  2.194941e-21  3.242267e-25  
4.000000e+05  4.808419e-20  3.808779e-20  2.252689e-20  2.940963e-21  5.573933e-25  
4.800000e+05  5.894436e-20  4.699704e-20  2.802891e-20  3.708097e-21  8.230784e-25  
5.600000e+05  6.934563e-20  5.562944e-20  3.344520e-20  4.460533e-21  1.041777e-24  
6.400000e+05  7.918102e-20  6.392246e-20  3.862599e-20  5.234149e-21  1.645107e-24  
7.200000e+05  8.838706e-20  7.180662e-20  4.372212e-20  6.040092e-21  1.971966e-24  
8.000000e+05  9.713368e-20  7.930822e-20  4.864048e-20  6.800798e-21  2.796867e-24  
8.800000e+05  1.055004e-19  8.641965e-20  5.350216e-20  7.550685e-21  3.241764e-24  
9.600000e+05  1.131348e-19  9.314048e-20  5.803026e-20  8.287403e-21  4.292856e-24  
1.040000e+06  1.202446e-19  9.947563e-20  6.236295e-20  9.009291e-21  5.468238e-24  
1.120000e+06  1.268533e-19  1.055592e-19  6.650017e-20  9.715201e-21  6.141235e-24  
1.200000e+06  1.329883e-19  1.111455e-19  7.044356e-20  1.042726e-20  7.538968e-24  
1.280000e+06  1.387807e-19  1.163830e-19  7.427957e-20  1.109818e-20  8.345773e-24  
1.360000e+06  1.440519e-19  1.212883e-19  7.784114e-20  1.175161e-20  9.963107e-24  
1.440000e+06  1.489412e-19  1.258793e-19  8.122153e-20  1.238739e-20  1.090708e-23  
1.520000e+06  1.534787e-19  1.302533e-19  8.442661e-20  1.300547e-20  1.273993e-23  
1.600000e+06  1.576931e-19  1.342668e-19  8.746283e-20  1.362265e-20  1.382344e-23  
1.920000e+06  1.718876e-19  1.479120e-19  9.811006e-20  1.584803e-20  2.168085e-23  
2.240000e+06  1.827074e-19  1.585162e-19  1.066151e-19  1.781755e-20  3.002156e-23  
2.560000e+06  1.910968e-19  1.668386e-19  1.134017e-19  1.953506e-20  3.964261e-23  
2.880000e+06  1.977414e-19  1.734674e-19  1.189102e-19  2.101666e-20  5.047599e-23  
3.200000e+06  2.030067e-19  1.787843e-19  1.233987e-19  2.230429e-20  6.244456e-23  
3.520000e+06  2.071649e-19  1.831033e-19  1.270872e-19  2.341387e-20  7.546385e-23  
3.840000e+06  2.104008e-19  1.865941e-19  1.301338e-19  2.436929e-20  8.676129e-23  
4.160000e+06  2.128917e-19  1.893865e-19  1.326591e-19  2.519112e-20  9.849285e-23  
4.480000e+06  2.147338e-19  1.915900e-19  1.347426e-19  2.589881e-20  1.105885e-22  
4.800000e+06  2.160310e-19  1.932949e-19  1.364648e-19  2.650956e-20  1.229784e-22  
5.120000e+06  2.168716e-19  1.945715e-19  1.378724e-19  2.703851e-20  1.536926e-22  
5.440000e+06  2.173263e-19  1.954791e-19  1.390065e-19  2.749739e-20  1.684731e-22  
5.760000e+06  2.174554e-19  1.960683e-19  1.399222e-19  2.789594e-20  1.833937e-22  
