8.000000e+00  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.000000e+00  1.645515e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+01  2.584324e+00 3.329436e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.100000e+01  3.415682e+00 4.460765e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.200000e+01  4.120061e+00 5.434571e+00 5.900379e+00 0.000000e+00 0.000000e+00
1.300000e+01  4.702694e+00 6.246493e+00 6.954714e+00 1.400872e+00 0.000000e+00
1.400000e+01  5.177688e+00 6.909682e+00 7.864035e+00 1.637308e+00 2.225298e+00
1.500000e+01  5.561103e+00 7.443623e+00 8.636063e+00 1.852433e+00 2.568834e+00
1.600000e+01  5.868098e+00 7.868583e+00 9.284404e+00 2.045406e+00 2.880333e+00
1.700000e+01  6.111927e+00 8.203152e+00 9.824468e+00 2.216783e+00 3.158290e+00
1.800000e+01  6.303760e+00 8.463393e+00 1.027132e+01 2.367905e+00 3.403522e+00
1.900000e+01  6.452808e+00 8.662761e+00 1.063869e+01 2.500479e+00 3.618142e+00
2.000000e+01  6.566670e+00 8.812332e+00 1.093861e+01 2.616322e+00 3.804861e+00
2.200000e+01  6.712421e+00 8.996579e+00 1.137588e+01 2.804809e+00 4.106013e+00
2.400000e+01  6.778044e+00 9.070069e+00 1.164804e+01 2.946018e+00 4.328373e+00
2.600000e+01  6.788431e+00 9.068527e+00 1.180107e+01 3.050191e+00 4.489653e+00
2.800000e+01  6.760485e+00 9.015969e+00 1.186747e+01 3.125338e+00 4.603676e+00
3.000000e+01  6.705846e+00 8.928705e+00 1.187039e+01 3.177656e+00 4.681028e+00
3.100000e+01  6.671219e+00 8.875706e+00 1.185348e+01 3.196798e+00 4.708561e+00
3.200000e+01  6.632742e+00 8.817945e+00 1.182664e+01 3.211928e+00 4.729800e+00
3.220000e+01  6.624650e+00 8.805903e+00 1.182020e+01 3.214516e+00 4.733358e+00
3.500000e+01  6.504463e+00 8.625721e+00 1.170074e+01 3.237649e+00 4.762921e+00
4.000000e+01  6.262857e+00 8.270153e+00 1.138960e+01 3.232900e+00 4.744299e+00
4.500000e+01  6.010292e+00 7.905720e+00 1.101747e+01 3.191380e+00 4.671413e+00
5.000000e+01  5.762070e+00 7.551786e+00 1.062494e+01 3.129290e+00 4.569514e+00
6.000000e+01  5.300090e+00 6.901237e+00 9.848441e+00 2.977961e+00 4.329779e+00
7.000000e+01  4.895068e+00 6.338089e+00 9.136362e+00 2.818636e+00 4.084439e+00
8.000000e+01  4.543123e+00 5.852648e+00 8.500108e+00 2.665673e+00 3.852399e+00
9.000000e+01  4.237950e+00 5.434613e+00 7.938848e+00 2.523909e+00 3.639873e+00
1.000000e+02  3.971972e+00 5.072261e+00 7.443885e+00 2.394351e+00 3.447154e+00
1.250000e+02  3.437676e+00 4.349996e+00 6.435879e+00 2.119736e+00 3.042569e+00
1.500000e+02  3.036992e+00 3.812931e+00 5.671505e+00 1.902233e+00 2.724983e+00
1.750000e+02  2.725299e+00 3.398621e+00 5.073810e+00 1.726973e+00 2.470457e+00
2.000000e+02  2.476038e+00 3.069261e+00 4.595361e+00 1.583035e+00 2.262260e+00
2.500000e+02  2.101793e+00 2.578782e+00 3.876380e+00 1.360737e+00 1.941811e+00
