1            1            1            
5            0.274342     0.053069     
6            0.481734     0.0541988    
10           0.0510464    0.061184     
11           0.0986287    0.0614259    
13           0.00100211   0.0617912    
14           0.00128131   0.0618442    
18           0.0114131    0.0630318    
19           0.0220662    0.0630869    
21           0.000233342  0.0632326    
22           0.000296732  0.0632427    
29           0.00257262   0.0634005    
30           0.00533144   0.0634078    
32           1.05901e-06  0.0634375    
33           1.25461e-06  0.063438     
-1           -1           -1           
3            3            3            
5            1.34019e-05  0.000472     
6            0.00121929   0.0016018    
10           0.0235998    0.008587     
11           0.0308577    0.0088289    
13           0.000627204  0.0091942    
14           0.000939171  0.0092472    
18           0.00569505   0.0104348    
19           0.00782273   0.0104899    
21           8.62942e-05  0.0106356    
22           0.000134019  0.0106457    
29           0.000779353  0.0108035    
30           0.00102859   0.0108108    
32           3.62767e-07  0.0108405    
33           5.28895e-07  0.010841     
-1           -1           -1           
5            5            5            
6            1.94851e-06  0.0011298    
8            0.00618993   0.0079025    
11           0.000170411  0.0083569    
13           0.209871     0.0087222    
16           0.00140901   0.00987515   
19           4.27942e-05  0.0100179    
21           0.0377672    0.0101636    
24           7.76734e-05  0.010354     
27           0.000261991  0.0103067    
30           9.24335e-06  0.0103388    
32           0.000165551  0.0103685    
-1           -1           -1           
6            6            6            
8            0.0115589    0.0067727    
10           9.20152e-05  0.0069852    
11           8.36613e-05  0.0072271    
13           0.0187928    0.0075924    
14           0.165949     0.0076454    
16           0.00196038   0.00874535   
18           1.80548e-05  0.00883301   
19           1.76278e-05  0.00888815   
21           0.00319057   0.00903382   
22           0.0285578    0.00904388   
24           1.13799e-05  0.00922424   
25           6.38564e-05  0.00922588   
27           0.000387897  0.00917686   
29           3.96377e-06  0.00920168   
30           3.59747e-06  0.00920898   
32           1.38889e-05  0.00923875   
33           0.000116159  0.00923917   
-1           -1           -1           
8            8            8            
10           1.00911e-05  0.0002125    
11           0.000201681  0.0004544    
18           0.000786231  0.00206031   
19           0.000797299  0.00211545   
29           0.00017521   0.00242898   
30           0.000169293  0.00243628   
-1           -1           -1           
10           10           10           
13           0.000678832  0.0006072    
16           0.000562522  0.00176015   
21           0.00290471   0.00204862   
27           0.00010545   0.00219166   
32           1.4424e-05   0.00225355   
-1           -1           -1           
11           11           11           
13           1.73015e-05  0.0003653    
14           0.000244219  0.0004183    
16           0.000889353  0.00151825   
21           0.000425544  0.00180672   
22           0.00337119   0.00181678   
27           0.000161171  0.00194976   
32           2.0278e-06   0.00201165   
33           1.51289e-05  0.00201207   
-1           -1           -1           
13           13           13           
18           0.0023977    0.00124061   
19           0.00026464   0.00129575   
24           0.012242     0.00163184   
29           0.00052091   0.00160928   
30           5.7167e-05   0.00161658   
-1           -1           -1           
14           14           14           
19           0.002172     0.00124275   
24           0.000683259  0.00157884   
25           0.013248     0.00158048   
30           0.000576449  0.00156358   
-1           -1           -1           
16           16           16           
18           1.81942e-05  8.766e-05    
19           0.000162852  0.0001428    
29           8.39849e-05  0.00045633   
30           5.10072e-05  0.00046363   
-1           -1           -1           
18           18           18           
21           0.000553465  0.00020081   
27           0.000124138  0.00034385   
32           3.0268e-07   0.00040574   
-1           -1           -1           
19           19           19           
21           1.36665e-05  0.00014567   
22           0.00015292   0.00015573   
27           8.06076e-05  0.00028871   
32           9.51476e-08  0.0003506    
33           4.95838e-07  0.00035102   
-1           -1           -1           
21           21           21           
24           6.44451e-05  0.00019042   
29           1.714e-05    0.00016786   
30           2.5497e-06   0.00017516   
-1           -1           -1           
22           22           22           
24           2.98142e-06  0.00018036   
25           6.16355e-05  0.000182     
30           1.62691e-05  0.0001651    
-1           -1           -1           
27           27           27           
29           2.7842e-07   2.482e-05    
30           1.2265e-06   3.212e-05    
-1           -1           -1           
29           29           29           
32           5.56388e-09  3.707e-05    
41           3.26889e-09  3.519e-05    
-1           -1           -1           
30           30           30           
32           1.2678e-10   2.977e-05    
33           1.132e-09    3.019e-05    
41           1.115e-09    2.789e-05    
-1           -1           -1           
-2           -2           -2           
